City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Winslow,US,2020-04-19 19:49:56,35.02,-110.7,66.2,15,1,12.91,clear sky,0.0,0.0
1,Hilo,US,2020-04-19 19:56:18,19.73,-155.09,78.8,57,75,3.36,broken clouds,0.0,0.0
2,Provideniya,RU,2020-04-19 19:54:23,64.38,-173.3,20.86,95,100,15.19,light snow,0.0,0.56
3,Chuy,UY,2020-04-19 19:57:14,-33.7,-53.46,67.73,78,4,8.21,clear sky,0.0,0.0
4,Uthal,PK,2020-04-19 19:59:32,25.81,66.62,77.49,77,93,2.8,overcast clouds,0.0,0.0
5,Raudeberg,NO,2020-04-19 19:59:32,61.99,5.14,46.4,70,0,9.17,clear sky,0.0,0.0
6,Busselton,AU,2020-04-19 19:56:17,-33.65,115.33,55.99,59,79,17.05,broken clouds,0.0,0.0
7,Bambous Virieux,MU,2020-04-19 19:59:33,-20.34,57.76,77.0,78,40,10.29,scattered clouds,0.0,0.0
8,Caravelas,BR,2020-04-19 19:59:33,-17.71,-39.25,76.1,76,46,17.65,scattered clouds,0.0,0.0
9,De-Kastri,RU,2020-04-19 19:59:33,51.47,140.78,34.39,89,100,6.53,overcast clouds,0.0,0.0
10,Hermanus,ZA,2020-04-19 19:59:34,-34.42,19.23,61.0,94,73,12.01,broken clouds,0.0,0.0
11,Ushuaia,AR,2020-04-19 19:56:10,-54.8,-68.3,44.6,75,75,28.86,drizzle,0.0,0.0
12,Faya,SA,2020-04-19 19:59:34,18.39,42.45,66.2,68,87,6.93,overcast clouds,0.0,0.0
13,Albany,US,2020-04-19 19:56:36,42.6,-73.97,64.99,26,81,1.99,broken clouds,0.0,0.0
14,Vaini,TO,2020-04-19 19:59:35,-21.2,-175.2,78.8,83,20,8.05,few clouds,0.0,0.0
15,Punta Arenas,CL,2020-04-19 19:59:36,-53.15,-70.92,44.6,65,40,34.45,scattered clouds,0.0,0.0
16,Jamestown,US,2020-04-19 19:59:36,42.1,-79.24,55.4,47,90,12.75,overcast clouds,0.0,0.0
17,Arraial Do Cabo,BR,2020-04-19 19:59:36,-22.97,-42.03,77.0,65,40,8.05,scattered clouds,0.0,0.0
