City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2020-04-19 16:59:31,-16.48,-151.75,82.6,78,68,14.05
1,Severobaykalsk,RU,2020-04-19 16:59:32,55.65,109.32,14.95,80,6,9.62
2,Albany,US,2020-04-19 16:59:32,42.6,-73.97,60.01,29,1,3.0
3,Butaritari,KI,2020-04-19 16:59:32,3.07,172.79,83.07,75,14,12.5
4,La Asuncion,VE,2020-04-19 16:59:32,11.03,-63.86,84.2,74,57,16.11
5,Lavrentiya,RU,2020-04-19 16:59:32,65.58,-171.0,16.23,91,100,6.91
6,Toronto,CA,2020-04-19 16:55:30,43.7,-79.42,48.99,87,90,16.11
7,Busselton,AU,2020-04-19 16:59:33,-33.65,115.33,55.99,59,97,14.7
8,Quatre Cocos,MU,2020-04-19 16:59:33,-20.21,57.76,77.0,73,40,12.75
9,Davila,PH,2020-04-19 16:59:33,18.47,120.58,79.93,80,75,4.32
10,Nuevo Progreso,MX,2020-04-19 16:59:33,23.17,-97.95,95.0,39,50,4.0
11,Avarua,CK,2020-04-19 16:59:33,-21.21,-159.78,77.0,83,13,4.7
12,Arman,RU,2020-04-19 16:59:34,59.7,150.17,-1.23,82,0,7.76
13,Ushuaia,AR,2020-04-19 16:59:34,-54.8,-68.3,44.6,75,75,4.41
14,Vaini,TO,2020-04-19 16:59:34,-21.2,-175.2,77.0,83,20,8.05
15,Banjar,ID,2020-04-19 16:59:34,-8.19,114.97,78.8,100,40,2.24
16,Port Alfred,ZA,2020-04-19 16:59:34,-33.59,26.89,77.63,57,20,14.81
17,Lebu,CL,2020-04-19 16:59:34,-37.62,-73.65,61.47,60,100,8.14
18,Port-Cartier,CA,2020-04-19 16:59:34,50.03,-66.87,37.0,64,20,18.34
19,Thompson,CA,2020-04-19 16:59:34,55.74,-97.86,15.8,78,90,6.93
20,Todos Santos,MX,2020-04-19 16:59:35,23.45,-110.22,78.01,78,5,4.0
21,Bredasdorp,ZA,2020-04-19 16:55:48,-34.53,20.04,64.99,82,4,2.33
22,Balkanabat,TM,2020-04-19 16:59:35,39.51,54.37,74.14,37,21,6.02
23,Tuktoyaktuk,CA,2020-04-19 16:59:35,69.45,-133.04,6.8,84,90,14.99
24,Parabel,RU,2020-04-19 16:59:35,58.7,81.48,46.63,66,100,9.57
25,Vestmannaeyjar,IS,2020-04-19 16:59:35,63.44,-20.27,44.6,100,75,23.04
26,Bulungu,CD,2020-04-19 16:59:35,-4.55,18.6,70.92,85,96,0.63
27,Katete,UG,2020-04-19 16:59:36,-0.78,29.75,65.52,58,67,0.76
28,Port Macquarie,AU,2020-04-19 16:59:36,-31.43,152.92,57.0,96,10,5.79
29,Kamina,CD,2020-04-19 16:59:36,-8.74,24.99,66.99,68,61,3.62
30,Lerwick,GB,2020-04-19 16:59:36,60.15,-1.15,53.6,81,0,8.05
31,Fairbanks,US,2020-04-19 16:58:47,64.84,-147.72,39.99,100,40,1.97
32,Leningradskiy,RU,2020-04-19 16:59:36,69.38,178.42,6.6,92,96,6.89
33,Rikitea,PF,2020-04-19 16:59:37,-23.12,-134.97,76.75,70,59,7.87
34,Jiaonan,CN,2020-04-19 16:59:37,35.88,119.98,50.0,93,1,4.47
35,Yellowknife,CA,2020-04-19 16:59:37,62.46,-114.35,21.2,67,20,11.41
36,Beipiao,CN,2020-04-19 16:59:37,41.79,120.78,43.9,59,91,24.16
37,Cherskiy,RU,2020-04-19 16:59:37,68.75,161.3,-0.9,93,99,6.55
38,Jamestown,US,2020-04-19 16:59:37,42.1,-79.24,51.8,50,1,18.34
39,Tautira,PF,2020-04-19 16:59:38,-17.73,-149.15,78.8,83,75,4.7
40,Kodiak,US,2020-04-19 16:55:43,57.79,-152.41,42.8,87,90,9.55
41,Rio Gallegos,AR,2020-04-19 16:59:38,-51.62,-69.22,48.2,61,40,40.26
42,Suleja,NG,2020-04-19 16:59:39,9.18,7.18,96.8,44,40,11.41
43,Hermanus,ZA,2020-04-19 16:59:40,-34.42,19.23,64.99,82,59,13.29
44,Hobyo,SO,2020-04-19 16:59:40,5.35,48.53,85.42,70,91,11.36
45,Mar Del Plata,AR,2020-04-19 16:59:40,-38.0,-57.56,75.0,60,2,23.04
46,New Norfolk,AU,2020-04-19 16:59:40,-42.78,147.06,48.0,83,100,4.12
47,Mount Isa,AU,2020-04-19 16:59:40,-20.73,139.5,62.6,48,28,7.25
48,Conceicao Do Araguaia,BR,2020-04-19 16:59:41,-8.26,-49.26,86.34,66,57,2.8
49,East London,ZA,2020-04-19 16:59:41,-33.02,27.91,77.58,64,8,18.14
50,Dikson,RU,2020-04-19 16:59:41,73.51,80.55,35.4,88,100,30.65
51,Bethel,US,2020-04-19 16:59:42,41.37,-73.41,59.0,43,1,18.34
52,Carnarvon,AU,2020-04-19 16:59:42,-24.87,113.63,73.4,83,38,13.87
53,Hobart,AU,2020-04-19 16:59:42,-42.88,147.33,50.0,81,100,5.82
54,Jalu,LY,2020-04-19 16:59:42,29.03,21.55,76.48,19,9,7.07
55,Karpogory,RU,2020-04-19 16:59:42,64.0,44.45,33.35,96,100,3.04
56,Longyearbyen,SJ,2020-04-19 16:59:42,78.22,15.64,35.6,74,40,25.28
57,Westport,US,2020-04-19 16:59:43,41.14,-73.36,55.99,46,1,17.22
58,San Ignacio,BZ,2020-04-19 16:59:43,17.16,-89.07,90.0,66,26,6.93
59,Bengkulu,ID,2020-04-19 16:59:43,-3.8,102.27,78.82,81,100,3.74
60,Fortuna,US,2020-04-19 16:59:43,40.6,-124.16,55.0,93,75,4.54
61,Nanortalik,GL,2020-04-19 16:59:43,60.14,-45.24,30.18,89,14,15.79
62,Barbastro,ES,2020-04-19 16:59:44,42.04,0.13,66.2,68,20,5.82
63,Severo-Kurilsk,RU,2020-04-19 16:59:44,50.68,156.12,26.42,90,9,14.27
64,Darhan,MN,2020-04-19 16:59:44,49.49,105.92,28.4,65,0,9.53
65,Honningsvag,NO,2020-04-19 16:59:44,70.98,25.97,41.0,80,75,25.28
66,Tuatapere,NZ,2020-04-19 16:59:44,-46.13,167.68,43.0,85,88,4.0
67,Salamanca,ES,2020-04-19 16:55:26,40.83,-6.0,57.0,66,48,17.22
68,Otjimbingwe,NA,2020-04-19 16:59:45,-22.35,16.13,81.79,26,61,4.32
69,San Cristobal,VE,2020-04-19 16:59:45,7.77,-72.22,87.8,52,40,4.7
70,Bilokurakyne,UA,2020-04-19 16:59:45,49.53,38.73,42.67,75,51,5.86
71,Nome,US,2020-04-19 16:59:45,64.5,-165.41,33.8,100,90,3.36
72,Long Xuyen,VN,2020-04-19 16:55:37,10.38,105.42,81.3,72,73,7.11
73,Coahuayana,MX,2020-04-19 16:59:46,18.73,-103.68,80.6,54,40,6.55
74,Bumba,CD,2020-04-19 16:59:46,2.18,22.47,74.26,83,95,3.83
75,Puerto Escondido,MX,2020-04-19 16:57:04,15.85,-97.07,89.6,75,5,9.17
76,Nikolskoye,RU,2020-04-19 16:59:46,59.7,30.79,42.01,69,40,8.95
77,Rincon,US,2020-04-19 16:59:46,32.3,-81.24,73.4,49,90,8.05
78,Mataura,NZ,2020-04-19 16:59:47,-46.19,168.86,43.0,85,93,4.0
79,Samfya,ZM,2020-04-19 16:59:47,-11.36,29.56,66.15,61,48,6.46
80,Eyl,SO,2020-04-19 16:59:47,7.98,49.82,84.31,71,28,10.18
81,Atuona,PF,2020-04-19 16:59:42,-9.8,-139.03,82.45,76,92,15.55
82,Faya,SA,2020-04-19 16:59:47,18.39,42.45,66.2,82,98,8.05
83,Cayenne,GF,2020-04-19 16:59:47,4.93,-52.33,78.8,100,97,3.36
84,Santa Isabel,BR,2020-04-19 16:59:48,-23.32,-46.22,77.0,53,40,6.93
85,Castro,BR,2020-04-19 16:59:48,-24.79,-50.01,73.99,34,2,2.82
